protocol,count
AXNET,0
AirSwap Exchange,0
AirSwap v2,3
Balancer Pool Token,986
Balancer v2,4096
Bancor Network,0
Bancor Network v2,858
Cofix,0
Curve,359
DDEX Hydro v1.0,0
DDEX Hydro v1.1,0
DUBIex,0
Dodo,299
ETHERCExchange,0
EtherDelta,1
Ethfinex,0
FEGex,0
FEGex v0,0
IDEX,0
IDEX v2,0
Kyber Network,0
Kyber Network v2,0
Kyber Network v3,0
Kyber Network v4,27
Matching Market,0
Mooniswap,86
One Inch Liquidity Pool,111
Smart DeFi,0
Token.Store,0
Uniswap,197
Uniswap v2,256214
Uniswap v3,88975
Zerox Exchange,0
Zerox Exchange v2,1453
Zerox Exchange v3,2
Zerox Exchange v4,1387
dYdX2,0
dex.blue,0
